F = 1.000000 | I = 0 | calculated 1.000000
F = 1.000000 | I = 2 | calculated 0.200000
F = -1.000000 | I = 1 | calculated -0.333333
F = -1.000000 | I = 3 | calculated -0.142857
F = 1.000000 | I = 4 | calculated 0.111111
F = 1.000000 | I = 6 | calculated 0.076923
F = 1.000000 | I = 8 | calculated 0.058824
F = -1.000000 | I = 9 | calculated -0.052632
F = 1.000000 | I = 10 | calculated 0.047619
F = -1.000000 | I = 11 | calculated -0.043478
F = -1.000000 | I = 51 | calculated -0.009709
F = 1.000000 | I = 12 | calculated 0.040000
F = -1.000000 | I = 13 | calculated -0.037037
F = 1.000000 | I = 54 | calculated 0.009174
F = 1.000000 | I = 14 | calculated 0.034483
F = -1.000000 | I = 53 | calculated -0.009346
F = -1.000000 | I = 15 | calculated -0.032258
F = 1.000000 | I = 52 | calculated 0.009524
F = 1.000000 | I = 16 | calculated 0.030303
F = -1.000000 | I = 17 | calculated -0.028571
F = 1.000000 | I = 18 | calculated 0.027027
F = -1.000000 | I = 19 | calculated -0.025641
F = 1.000000 | I = 20 | calculated 0.024390
F = -1.000000 | I = 21 | calculated -0.023256
F = 1.000000 | I = 22 | calculated 0.022222
F = -1.000000 | I = 23 | calculated -0.021277
F = 1.000000 | I = 24 | calculated 0.020408
F = -1.000000 | I = 25 | calculated -0.019608
F = 1.000000 | I = 26 | calculated 0.018868
F = -1.000000 | I = 27 | calculated -0.018182
F = 1.000000 | I = 28 | calculated 0.017544
F = -1.000000 | I = 29 | calculated -0.016949
F = 1.000000 | I = 30 | calculated 0.016393
F = -1.000000 | I = 31 | calculated -0.015873
F = 1.000000 | I = 32 | calculated 0.015385
F = -1.000000 | I = 33 | calculated -0.014925
F = 1.000000 | I = 34 | calculated 0.014493
F = -1.000000 | I = 35 | calculated -0.014085
F = 1.000000 | I = 36 | calculated 0.013699
F = -1.000000 | I = 37 | calculated -0.013333
F = 1.000000 | I = 38 | calculated 0.012987
F = -1.000000 | I = 39 | calculated -0.012658
F = 1.000000 | I = 40 | calculated 0.012346
F = -1.000000 | I = 41 | calculated -0.012048
F = 1.000000 | I = 42 | calculated 0.011765
F = -1.000000 | I = 43 | calculated -0.011494
F = 1.000000 | I = 44 | calculated 0.011236
F = -1.000000 | I = 45 | calculated -0.010989
F = 1.000000 | I = 46 | calculated 0.010753
F = -1.000000 | I = 47 | calculated -0.010526
F = 1.000000 | I = 48 | calculated 0.010309
F = -1.000000 | I = 49 | calculated -0.010101
F = 1.000000 | I = 50 | calculated 0.009901
F = -1.000000 | I = 5 | calculated -0.090909
F = -1.000000 | I = 7 | calculated -0.066667
F = -1.000000 | I = 55 | calculated -0.009009
F = 1.000000 | I = 56 | calculated 0.008850
F = 1.000000 | I = 58 | calculated 0.008547
F = -1.000000 | I = 59 | calculated -0.008403
F = -1.000000 | I = 57 | calculated -0.008696
F = 1.000000 | I = 60 | calculated 0.008264
F = -1.000000 | I = 61 | calculated -0.008130
F = 1.000000 | I = 62 | calculated 0.008000
F = 1.000000 | I = 66 | calculated 0.007519
F = -1.000000 | I = 67 | calculated -0.007407
F = 1.000000 | I = 68 | calculated 0.007299
F = -1.000000 | I = 69 | calculated -0.007194
F = 1.000000 | I = 70 | calculated 0.007092
F = -1.000000 | I = 71 | calculated -0.006993
F = 1.000000 | I = 72 | calculated 0.006897
F = -1.000000 | I = 65 | calculated -0.007634
F = -1.000000 | I = 73 | calculated -0.006803
F = 1.000000 | I = 74 | calculated 0.006711
F = -1.000000 | I = 75 | calculated -0.006623
F = 1.000000 | I = 76 | calculated 0.006536
F = -1.000000 | I = 77 | calculated -0.006452
F = 1.000000 | I = 78 | calculated 0.006369
F = 1.000000 | I = 80 | calculated 0.006211
F = -1.000000 | I = 81 | calculated -0.006135
F = -1.000000 | I = 79 | calculated -0.006289
F = 1.000000 | I = 272 | calculated 0.001835
F = 1.000000 | I = 82 | calculated 0.006061
F = -1.000000 | I = 83 | calculated -0.005988
F = -1.000000 | I = 273 | calculated -0.001828
F = 1.000000 | I = 84 | calculated 0.005917
F = -1.000000 | I = 85 | calculated -0.005848
F = 1.000000 | I = 86 | calculated 0.005780
F = -1.000000 | I = 87 | calculated -0.005714
F = 1.000000 | I = 88 | calculated 0.005650
F = -1.000000 | I = 89 | calculated -0.005587
F = 1.000000 | I = 90 | calculated 0.005525
F = -1.000000 | I = 91 | calculated -0.005464
F = 1.000000 | I = 92 | calculated 0.005405
F = -1.000000 | I = 93 | calculated -0.005348
F = 1.000000 | I = 94 | calculated 0.005291
F = -1.000000 | I = 95 | calculated -0.005236
F = 1.000000 | I = 96 | calculated 0.005181
F = -1.000000 | I = 97 | calculated -0.005128
F = 1.000000 | I = 98 | calculated 0.005076
F = -1.000000 | I = 99 | calculated -0.005025
F = 1.000000 | I = 100 | calculated 0.004975
F = -1.000000 | I = 101 | calculated -0.004926
F = 1.000000 | I = 102 | calculated 0.004878
F = -1.000000 | I = 103 | calculated -0.004831
F = 1.000000 | I = 104 | calculated 0.004785
F = -1.000000 | I = 105 | calculated -0.004739
F = 1.000000 | I = 106 | calculated 0.004695
F = -1.000000 | I = 107 | calculated -0.004651
F = -1.000000 | I = 63 | calculated -0.007874
F = 1.000000 | I = 108 | calculated 0.004608
F = 1.000000 | I = 64 | calculated 0.007752
F = -1.000000 | I = 109 | calculated -0.004566
F = 1.000000 | I = 110 | calculated 0.004525
F = 1.000000 | I = 276 | calculated 0.001808
F = -1.000000 | I = 111 | calculated -0.004484
F = 1.000000 | I = 112 | calculated 0.004444
F = -1.000000 | I = 113 | calculated -0.004405
F = -1.000000 | I = 277 | calculated -0.001802
F = 1.000000 | I = 114 | calculated 0.004367
F = -1.000000 | I = 115 | calculated -0.004329
F = 1.000000 | I = 116 | calculated 0.004292
F = -1.000000 | I = 117 | calculated -0.004255
F = 1.000000 | I = 118 | calculated 0.004219
F = -1.000000 | I = 119 | calculated -0.004184
F = 1.000000 | I = 120 | calculated 0.004149
F = -1.000000 | I = 121 | calculated -0.004115
F = 1.000000 | I = 122 | calculated 0.004082
F = -1.000000 | I = 123 | calculated -0.004049
F = 1.000000 | I = 124 | calculated 0.004016
F = -1.000000 | I = 125 | calculated -0.003984
F = 1.000000 | I = 126 | calculated 0.003953
F = -1.000000 | I = 127 | calculated -0.003922
F = 1.000000 | I = 128 | calculated 0.003891
F = -1.000000 | I = 129 | calculated -0.003861
F = 1.000000 | I = 130 | calculated 0.003831
F = -1.000000 | I = 131 | calculated -0.003802
F = 1.000000 | I = 132 | calculated 0.003774
F = -1.000000 | I = 133 | calculated -0.003745
F = 1.000000 | I = 134 | calculated 0.003717
F = -1.000000 | I = 135 | calculated -0.003690
F = 1.000000 | I = 136 | calculated 0.003663
F = -1.000000 | I = 137 | calculated -0.003636
F = 1.000000 | I = 138 | calculated 0.003610
F = 1.000000 | I = 278 | calculated 0.001795
F = 1.000000 | I = 140 | calculated 0.003559
F = -1.000000 | I = 141 | calculated -0.003534
F = 1.000000 | I = 142 | calculated 0.003509
F = -1.000000 | I = 143 | calculated -0.003484
F = 1.000000 | I = 144 | calculated 0.003460
F = -1.000000 | I = 145 | calculated -0.003436
F = 1.000000 | I = 146 | calculated 0.003413
F = -1.000000 | I = 147 | calculated -0.003390
F = 1.000000 | I = 148 | calculated 0.003367
F = -1.000000 | I = 149 | calculated -0.003344
F = 1.000000 | I = 150 | calculated 0.003322
F = -1.000000 | I = 151 | calculated -0.003300
F = 1.000000 | I = 152 | calculated 0.003279
F = -1.000000 | I = 153 | calculated -0.003257
F = 1.000000 | I = 154 | calculated 0.003236
F = -1.000000 | I = 155 | calculated -0.003215
F = 1.000000 | I = 156 | calculated 0.003195
F = -1.000000 | I = 157 | calculated -0.003175
F = 1.000000 | I = 280 | calculated 0.001783
F = 1.000000 | I = 158 | calculated 0.003155
F = -1.000000 | I = 159 | calculated -0.003135
F = 1.000000 | I = 160 | calculated 0.003115
F = -1.000000 | I = 161 | calculated -0.003096
F = 1.000000 | I = 162 | calculated 0.003077
F = -1.000000 | I = 163 | calculated -0.003058
F = -1.000000 | I = 281 | calculated -0.001776
F = 1.000000 | I = 164 | calculated 0.003040
F = -1.000000 | I = 165 | calculated -0.003021
F = 1.000000 | I = 166 | calculated 0.003003
F = -1.000000 | I = 167 | calculated -0.002985
F = 1.000000 | I = 168 | calculated 0.002967
F = -1.000000 | I = 169 | calculated -0.002950
F = 1.000000 | I = 170 | calculated 0.002933
F = -1.000000 | I = 171 | calculated -0.002915
F = 1.000000 | I = 172 | calculated 0.002899
F = -1.000000 | I = 173 | calculated -0.002882
F = 1.000000 | I = 174 | calculated 0.002865
F = -1.000000 | I = 175 | calculated -0.002849
F = 1.000000 | I = 176 | calculated 0.002833
F = -1.000000 | I = 177 | calculated -0.002817
F = 1.000000 | I = 178 | calculated 0.002801
F = -1.000000 | I = 179 | calculated -0.002786
F = 1.000000 | I = 180 | calculated 0.002770
F = -1.000000 | I = 181 | calculated -0.002755
F = 1.000000 | I = 182 | calculated 0.002740
F = -1.000000 | I = 183 | calculated -0.002725
F = 1.000000 | I = 184 | calculated 0.002710
F = -1.000000 | I = 185 | calculated -0.002695
F = 1.000000 | I = 186 | calculated 0.002681
F = -1.000000 | I = 187 | calculated -0.002667
F = 1.000000 | I = 188 | calculated 0.002653
F = -1.000000 | I = 189 | calculated -0.002639
F = 1.000000 | I = 190 | calculated 0.002625
F = -1.000000 | I = 191 | calculated -0.002611
F = 1.000000 | I = 284 | calculated 0.001757
F = -1.000000 | I = 193 | calculated -0.002584
F = 1.000000 | I = 194 | calculated 0.002571
F = -1.000000 | I = 195 | calculated -0.002558
F = 1.000000 | I = 196 | calculated 0.002545
F = -1.000000 | I = 197 | calculated -0.002532
F = 1.000000 | I = 198 | calculated 0.002519
F = -1.000000 | I = 199 | calculated -0.002506
F = 1.000000 | I = 200 | calculated 0.002494
F = -1.000000 | I = 201 | calculated -0.002481
F = 1.000000 | I = 202 | calculated 0.002469
F = -1.000000 | I = 203 | calculated -0.002457
F = 1.000000 | I = 204 | calculated 0.002445
F = -1.000000 | I = 205 | calculated -0.002433
F = 1.000000 | I = 206 | calculated 0.002421
F = -1.000000 | I = 207 | calculated -0.002410
F = 1.000000 | I = 208 | calculated 0.002398
F = -1.000000 | I = 209 | calculated -0.002387
